2019/11/19 08:30:01 UTC [270094]: /home/cep/geonameId-icao-correspondencia.txt no exite
2019/11/19 10:15:01 UTC [532297]: Inicia descarga de meteoflight_reports.php
2019/11/19 10:15:05 UTC [532297]: Fin descarga de meteoflight_reports.php
2019/11/19 10:15:06 UTC [532297]: Ini plots w R LECO
2019/11/19 10:15:07 UTC [532297]: Fin plots w R LECO
2019/11/19 10:15:08 UTC [532297]: Ini plots w R LEAS
2019/11/19 10:15:09 UTC [532297]: Fin plots w R LEAS
2019/11/19 10:15:11 UTC [532297]: Ini plots w R LEXJ
2019/11/19 10:15:12 UTC [532297]: Fin plots w R LEXJ
2019/11/19 10:15:13 UTC [532297]: Ini plots w R LEBB
2019/11/19 10:15:14 UTC [532297]: Fin plots w R LEBB
2019/11/19 10:15:15 UTC [532297]: Ini plots w R LESO
2019/11/19 10:15:16 UTC [532297]: Fin plots w R LESO
2019/11/19 10:15:18 UTC [532297]: Ini plots w R LEST
2019/11/19 10:15:19 UTC [532297]: Fin plots w R LEST
2019/11/19 10:15:20 UTC [532297]: Ini plots w R LEVX
2019/11/19 10:15:21 UTC [532297]: Fin plots w R LEVX
2019/11/19 10:15:22 UTC [532297]: Ini plots w R LELN
2019/11/19 10:15:23 UTC [532297]: Fin plots w R LELN
2019/11/19 10:15:25 UTC [532297]: Ini plots w R LEBG
2019/11/19 10:15:25 UTC [532297]: Fin plots w R LEBG
2019/11/19 10:15:27 UTC [532297]: Ini plots w R LEVT
2019/11/19 10:15:28 UTC [532297]: Fin plots w R LEVT
2019/11/19 10:15:29 UTC [532297]: Ini plots w R LELO
2019/11/19 10:15:30 UTC [532297]: Fin plots w R LELO
2019/11/19 10:15:32 UTC [532297]: Ini plots w R LEPP
2019/11/19 10:15:33 UTC [532297]: Fin plots w R LEPP
2019/11/19 10:15:34 UTC [532297]: Ini plots w R LEVD
2019/11/19 10:15:35 UTC [532297]: Fin plots w R LEVD
2019/11/19 10:15:37 UTC [532297]: Ini plots w R LEZG
2019/11/19 10:15:37 UTC [532297]: Fin plots w R LEZG
2019/11/19 10:15:39 UTC [532297]: Ini plots w R LERS
2019/11/19 10:15:40 UTC [532297]: Fin plots w R LERS
2019/11/19 10:15:41 UTC [532297]: Ini plots w R LEBL
2019/11/19 10:15:42 UTC [532297]: Fin plots w R LEBL
2019/11/19 10:15:44 UTC [532297]: Ini plots w R LEGE
2019/11/19 10:15:44 UTC [532297]: Fin plots w R LEGE
2019/11/19 10:15:46 UTC [532297]: Ini plots w R LESA
2019/11/19 10:15:47 UTC [532297]: Fin plots w R LESA
2019/11/19 10:15:48 UTC [532297]: Ini plots w R LECV
2019/11/19 10:15:49 UTC [532297]: Fin plots w R LECV
2019/11/19 10:15:50 UTC [532297]: Ini plots w R LEMD
2019/11/19 10:15:51 UTC [532297]: Fin plots w R LEMD
2019/11/19 10:15:52 UTC [532297]: Ini plots w R LEVS
2019/11/19 10:15:53 UTC [532297]: Fin plots w R LEVS
2019/11/19 10:15:54 UTC [532297]: Ini plots w R LEGT
2019/11/19 10:15:55 UTC [532297]: Fin plots w R LEGT
2019/11/19 10:15:56 UTC [532297]: Ini plots w R LETO
2019/11/19 10:15:56 UTC [532297]: Fin plots w R LETO
2019/11/19 10:15:57 UTC [532297]: Ini plots w R LEAB
2019/11/19 10:15:58 UTC [532297]: Fin plots w R LEAB
2019/11/19 10:15:59 UTC [532297]: Ini plots w R LEVC
2019/11/19 10:16:00 UTC [532297]: Fin plots w R LEVC
2019/11/19 10:16:02 UTC [532297]: Ini plots w R LEPA
2019/11/19 10:16:03 UTC [532297]: Fin plots w R LEPA
2019/11/19 10:16:04 UTC [532297]: Ini plots w R LEMH
2019/11/19 10:16:05 UTC [532297]: Fin plots w R LEMH
2019/11/19 10:16:06 UTC [532297]: Ini plots w R LEBZ
2019/11/19 10:16:06 UTC [532297]: Fin plots w R LEBZ
2019/11/19 10:16:08 UTC [532297]: Ini plots w R LEAL
2019/11/19 10:16:09 UTC [532297]: Fin plots w R LEAL
2019/11/19 10:16:10 UTC [532297]: Ini plots w R LEIB
2019/11/19 10:16:11 UTC [532297]: Fin plots w R LEIB
2019/11/19 10:16:12 UTC [532297]: Ini plots w R LEZL
2019/11/19 10:16:13 UTC [532297]: Fin plots w R LEZL
2019/11/19 10:16:14 UTC [532297]: Ini plots w R LEMO
2019/11/19 10:16:15 UTC [532297]: Fin plots w R LEMO
2019/11/19 10:16:16 UTC [532297]: Ini plots w R LEBA
2019/11/19 10:16:17 UTC [532297]: Fin plots w R LEBA
2019/11/19 10:16:19 UTC [532297]: Ini plots w R LEGR
2019/11/19 10:16:19 UTC [532297]: Fin plots w R LEGR
2019/11/19 10:16:20 UTC [532297]: Ini plots w R LERI
2019/11/19 10:16:21 UTC [532297]: Fin plots w R LERI
2019/11/19 10:16:23 UTC [532297]: Ini plots w R LELC
2019/11/19 10:16:23 UTC [532297]: Fin plots w R LELC
2019/11/19 10:16:24 UTC [532297]: Ini plots w R LERT
2019/11/19 10:16:25 UTC [532297]: Fin plots w R LERT
2019/11/19 10:16:27 UTC [532297]: Ini plots w R LEJR
2019/11/19 10:16:27 UTC [532297]: Fin plots w R LEJR
2019/11/19 10:16:29 UTC [532297]: Ini plots w R LEMG
2019/11/19 10:16:30 UTC [532297]: Fin plots w R LEMG
2019/11/19 10:16:31 UTC [532297]: Ini plots w R LEAM
2019/11/19 10:16:32 UTC [532297]: Fin plots w R LEAM
2019/11/19 10:16:33 UTC [532297]: Ini plots w R LEGA
2019/11/19 10:16:33 UTC [532297]: Fin plots w R LEGA
2019/11/19 10:16:35 UTC [532297]: Ini plots w R LELL
2019/11/19 10:16:36 UTC [532297]: Fin plots w R LELL
2019/11/19 10:16:36 UTC [532297]: Ini plots w R LEAO
2019/11/19 10:16:37 UTC [532297]: Fin plots w R LEAO
2019/11/19 10:16:38 UTC [532297]: Ini plots w R LERL
2019/11/19 10:16:39 UTC [532297]: Fin plots w R LERL
2019/11/19 10:16:40 UTC [532297]: Ini plots w R LEDA
2019/11/19 10:16:41 UTC [532297]: Fin plots w R LEDA
2019/11/19 10:16:43 UTC [532297]: Ini plots w R LEHC
2019/11/19 10:16:44 UTC [532297]: Fin plots w R LEHC
2019/11/19 10:16:45 UTC [532297]: Ini plots w R LETL
2019/11/19 10:16:46 UTC [532297]: Fin plots w R LETL
2019/11/19 10:16:48 UTC [532297]: Ini plots w R LECH
2019/11/19 10:16:49 UTC [532297]: Fin plots w R LECH
2019/11/19 10:16:49 UTC [532297]: Ini plots w R LESU
2019/11/19 10:16:50 UTC [532297]: Fin plots w R LESU
2019/11/19 10:16:51 UTC [532297]: Ini plots w R LEMI
2019/11/19 10:16:52 UTC [532297]: Fin plots w R LEMI
2019/11/19 10:16:54 UTC [532297]: Ini plots w R LESB
2019/11/19 10:16:55 UTC [532297]: Fin plots w R LESB
2019/11/19 10:16:56 UTC [532297]: Ini plots w R LEBR
2019/11/19 10:16:57 UTC [532297]: Fin plots w R LEBR
2019/11/19 10:16:59 UTC [532297]: Ini plots w R LETU
2019/11/19 10:16:59 UTC [532297]: Fin plots w R LETU
2019/11/19 10:17:01 UTC [532297]: Ini plots w R LEBT
2019/11/19 10:17:02 UTC [532297]: Fin plots w R LEBT
2019/11/19 10:17:02 UTC [532297]: Ini plots w R LEEC
2019/11/19 10:17:03 UTC [532297]: Fin plots w R LEEC
2019/11/19 10:17:05 UTC [532297]: Ini plots w R LEAG
2019/11/19 10:17:06 UTC [532297]: Fin plots w R LEAG
fin script predicciones
2019/11/19 10:30:01 UTC [603407]: Inicia descarga de meteoflight_reports.php
2019/11/19 10:30:05 UTC [603407]: Fin descarga de meteoflight_reports.php
2019/11/19 10:30:07 UTC [603407]: Ini plots w R LECO
2019/11/19 10:30:07 UTC [603407]: Fin plots w R LECO
2019/11/19 10:30:09 UTC [603407]: Ini plots w R LEAS
2019/11/19 10:30:10 UTC [603407]: Fin plots w R LEAS
2019/11/19 10:30:12 UTC [603407]: Ini plots w R LEXJ
2019/11/19 10:30:13 UTC [603407]: Fin plots w R LEXJ
2019/11/19 10:30:14 UTC [603407]: Ini plots w R LEBB
2019/11/19 10:30:15 UTC [603407]: Fin plots w R LEBB
2019/11/19 10:30:17 UTC [603407]: Ini plots w R LESO
2019/11/19 10:30:18 UTC [603407]: Fin plots w R LESO
2019/11/19 10:30:19 UTC [603407]: Ini plots w R LEST
2019/11/19 10:30:20 UTC [603407]: Fin plots w R LEST
2019/11/19 10:30:22 UTC [603407]: Ini plots w R LEVX
2019/11/19 10:30:23 UTC [603407]: Fin plots w R LEVX
2019/11/19 10:30:25 UTC [603407]: Ini plots w R LELN
2019/11/19 10:30:26 UTC [603407]: Fin plots w R LELN
2019/11/19 10:30:27 UTC [603407]: Ini plots w R LEBG
2019/11/19 10:30:28 UTC [603407]: Fin plots w R LEBG
2019/11/19 10:30:30 UTC [603407]: Ini plots w R LEVT
2019/11/19 10:30:31 UTC [603407]: Fin plots w R LEVT
2019/11/19 10:30:33 UTC [603407]: Ini plots w R LELO
2019/11/19 10:30:33 UTC [603407]: Fin plots w R LELO
2019/11/19 10:30:35 UTC [603407]: Ini plots w R LEPP
2019/11/19 10:30:36 UTC [603407]: Fin plots w R LEPP
2019/11/19 10:30:38 UTC [603407]: Ini plots w R LEVD
2019/11/19 10:30:39 UTC [603407]: Fin plots w R LEVD
2019/11/19 10:30:41 UTC [603407]: Ini plots w R LEZG
2019/11/19 10:30:42 UTC [603407]: Fin plots w R LEZG
2019/11/19 10:30:43 UTC [603407]: Ini plots w R LERS
2019/11/19 10:30:44 UTC [603407]: Fin plots w R LERS
2019/11/19 10:30:46 UTC [603407]: Ini plots w R LEBL
2019/11/19 10:30:47 UTC [603407]: Fin plots w R LEBL
2019/11/19 10:30:49 UTC [603407]: Ini plots w R LEGE
2019/11/19 10:30:49 UTC [603407]: Fin plots w R LEGE
2019/11/19 10:30:51 UTC [603407]: Ini plots w R LESA
2019/11/19 10:30:53 UTC [603407]: Fin plots w R LESA
2019/11/19 10:30:54 UTC [603407]: Ini plots w R LECV
2019/11/19 10:30:54 UTC [603407]: Fin plots w R LECV
2019/11/19 10:30:56 UTC [603407]: Ini plots w R LEMD
2019/11/19 10:30:57 UTC [603407]: Fin plots w R LEMD
2019/11/19 10:30:58 UTC [603407]: Ini plots w R LEVS
2019/11/19 10:30:59 UTC [603407]: Fin plots w R LEVS
2019/11/19 10:31:00 UTC [603407]: Ini plots w R LEGT
2019/11/19 10:31:01 UTC [603407]: Fin plots w R LEGT
2019/11/19 10:31:02 UTC [603407]: Ini plots w R LETO
2019/11/19 10:31:03 UTC [603407]: Fin plots w R LETO
2019/11/19 10:31:04 UTC [603407]: Ini plots w R LEAB
2019/11/19 10:31:05 UTC [603407]: Fin plots w R LEAB
2019/11/19 10:31:07 UTC [603407]: Ini plots w R LEVC
2019/11/19 10:31:08 UTC [603407]: Fin plots w R LEVC
2019/11/19 10:31:10 UTC [603407]: Ini plots w R LEPA
